"block","r","obs","lo","hi"
1,528,228.743659981687,-12.0198936872243,11.5740700290107
1,552,231.79063804375,-12.9221700318507,11.7979968577265
1,576,234.591153092457,-13.8513814475677,12.2149074797566
1,600,234.320934319752,-15.4761649365378,13.3866613253655
1,624,235.074432393256,-14.0232138356226,13.1237927147403
1,648,235.602730315447,-14.4301859131077,12.6098522530132
1,672,236.614708870426,-14.6976372412602,12.3252707928185
1,696,237.960056479756,-15.3747646500178,13.6633893241197
1,720,237.975848059377,-15.0411486641644,13.3919383953586
1,744,239.425429190372,-16.1517097791574,14.8585037657015
1,768,239.852088618826,-15.0084459396652,15.9027312977495
1,792,240.882016405352,-15.4315447834663,16.2609064512422
1,816,241.852668409205,-17.1658586095272,18.8541167504219
1,840,242.651625114875,-18.3493594946103,18.6517319061494
1,864,243.530769345519,-18.442631819569,18.6178740134211
1,888,243.691381876197,-18.9398200830133,15.9488600325114
1,912,243.218621898763,-19.5688855680195,14.9755188769375
1,936,242.335679854158,-20.4524541734908,15.6296676816047
1,960,242.678351913645,-20.4063710234615,16.6579901810833
1,984,242.914644968832,-19.8345760899341,17.8775376526255
1,1008,241.635533467429,-20.3953642071157,19.6173666815757
1,1032,241.023138018595,-20.3016908370946,19.2689579374855
1,1056,240.670210169196,-19.7682632604412,18.7005784757746
1,1080,239.981940385011,-20.1090497657142,19.2239488103771
1,1104,240.48470063043,-19.9889227788447,19.3084828020746
1,1128,240.547309380673,-20.3580102921994,18.1536577270062
1,1152,239.812906004616,-20.0706222964507,18.1635879572993
1,1176,239.488559243177,-18.8837587394132,19.3372541950671
1,1200,239.547272930763,-19.3776502946262,18.6987172121292
1,1224,239.834436565056,-19.1532337324902,18.8641124118385
1,1248,239.411285752485,-19.4249747491781,19.3449410343119
1,1272,239.233828982529,-18.5266365946582,19.8078871764824
1,1296,238.15124597184,-19.7483906232524,19.0839268140635
1,1320,237.448148044219,-19.5037882289639,19.0449461715402
1,1344,236.43778796282,-18.0809119254022,19.6385555233064
1,1368,235.882251522719,-18.295909844566,20.5533054166679
1,1392,235.965455754075,-19.0682339616558,20.3334859349568
1,1416,235.17919896434,-19.9159296255139,20.8382466886499
1,1440,235.28500004066,-19.858335993687,21.2732915425602
1,1464,235.21463176314,-20.8314471416652,20.9676163008146
1,1488,235.72102634528,-20.776036610479,19.8632792900612
1,1512,235.574512106451,-21.0253686083533,20.3959251215672
1,1536,235.830392964554,-20.2834429179318,22.3669101481557
1,1560,235.588583924533,-20.083978418699,22.5175013652035
1,1584,236.724361227022,-20.9176170663759,22.6468257840547
1,1608,235.988047950173,-22.015918460535,23.8983993708823
