species,n_blocks,pos,mean_rho,sign_p,pooled_rho
spruce,7,4,-0.0258762495791312,1.0,-0.03512235564058286
pine,7,3,0.014079430683094885,1.0,0.01788919769391346
birch,7,7,0.04896910891928454,0.015625,0.051077266544351366
conifer,7,0,-0.04122094818174969,0.015625,-0.04506506123185169
