cluster_id,morph_type,n,hull_ar,scatter_ar,linearity,pair_axial_R,arbin
0,Type0,6,3.3345106753517433,3.904984285454337,0.9384573810953306,0.5309301152909147,"(3.0, 4.0]"
1,Type1,5,1.9091448728843048,2.1176907397713585,0.8176717655313178,0.3537315413000651,"(1.5, 2.0]"
3,Type1,8,1.374677810399705,1.213038813170592,0.5953813857026126,0.13939251523335563,"(1.0, 1.5]"
6,Type0,5,6.631041406587897,5.780110803571023,0.9709384111157303,0.7242644533704531,"(4.0, 10.0]"
9,Type1,12,2.6410879317670735,2.5178841765393547,0.8637554053654813,0.4726382981296355,"(2.5, 3.0]"
10,Type1,6,2.995401185476756,3.030118285201006,0.9017837719242343,0.4769356841943185,"(2.5, 3.0]"
11,Type0,5,5.439482546080626,5.502618650779219,0.9680294763275676,0.7089514115059493,"(4.0, 10.0]"
15,Type0,6,3.927132840625675,3.4346505822422895,0.9218556142222016,0.6021120291875365,"(3.0, 4.0]"
21,Type0,5,6.211169027424772,4.856684684300365,0.9593287389310553,0.7233315820280519,"(4.0, 10.0]"
22,Type1,5,1.7952071117279376,1.6959567204676362,0.7420199813280448,0.2072038480570019,"(1.5, 2.0]"
29,Type1,5,2.0860963956703027,2.072923718904827,0.8112143488690798,0.47741352904906326,"(2.0, 2.5]"
37,Type1,5,1.042799188488758,1.0014615619540916,0.500730246936779,0.1725349263708902,"(1.0, 1.5]"
39,Type1,11,1.633722004392118,1.7089913224959592,0.744940339452239,0.27318974944312535,"(1.5, 2.0]"
41,Type1,8,1.422883507792697,1.4472900928064831,0.6768615357864626,0.17689772044658408,"(1.0, 1.5]"
48,Type1,8,1.0846267916402528,1.6013467087311957,0.7194408902577274,0.2481573760284764,"(1.0, 1.5]"
49,Type1,6,1.0132040282003565,1.1993856830517196,0.5899162062870236,0.17358167249407647,"(1.0, 1.5]"
51,Type1,9,3.8709276800210537,3.331237566864183,0.9173358585649113,0.4767610560922964,"(3.0, 4.0]"
52,Type0,6,3.040763264152136,2.4185961392232005,0.8540062286141921,0.47549635109531035,"(3.0, 4.0]"
53,Type1,15,2.1287267297134065,1.9705426134775181,0.795209465751382,0.35617990671524796,"(2.0, 2.5]"
54,Type0,5,3.297861566274456,2.9357162806076187,0.8960329293180612,0.6158958690834816,"(3.0, 4.0]"
64,Type1,8,2.98925387551299,3.7577576598038775,0.9338656820976355,0.5932172180067047,"(2.5, 3.0]"
66,Type1,10,1.565274867875419,1.9299927073206835,0.7883540481771641,0.35094432484648164,"(1.5, 2.0]"
69,Type1,5,1.596764291518128,1.5424984280431644,0.70408084941834,0.1452305212851851,"(1.5, 2.0]"
70,Type1,7,2.1058573009298516,2.0068232583232906,0.8010876364986718,0.3976954177611479,"(2.0, 2.5]"
71,Type0,8,2.89011584336194,2.4351745192045664,0.8557014161023309,0.4242509007619898,"(2.5, 3.0]"
81,Type1,5,2.9177337041941707,2.8172583153765434,0.8881049323458804,0.5639851547981395,"(2.5, 3.0]"
82,Type1,10,2.917709702972403,2.521475217077383,0.8640904978924043,0.5593827978313403,"(2.5, 3.0]"
86,Type1,5,1.0116630265248,1.2184184411373742,0.5975115746919855,0.1282433660653799,"(1.0, 1.5]"
104,Type0,6,5.937344361957441,5.3254861664053745,0.965940985908531,0.800069466786801,"(4.0, 10.0]"
105,Type0,5,2.458519941127524,2.037914792116176,0.8059419300215389,0.38630807455016647,"(2.0, 2.5]"
106,Type1,7,2.084536222284742,2.2144369072565193,0.8306155834116598,0.39102309256116613,"(2.0, 2.5]"
107,Type1,16,1.1309666594544263,1.4303294698338187,0.6716836030202306,0.17307535084083084,"(1.0, 1.5]"
109,Type1,8,3.111002303976202,3.2425730090745963,0.9131513195450408,0.39638246316017706,"(3.0, 4.0]"
111,Type1,6,3.075519934056838,3.7535407339762292,0.9337268546180725,0.5039327511844287,"(3.0, 4.0]"
113,Type0,5,4.38254748544678,3.8779223065824167,0.9376491798548142,0.6677523463654254,"(4.0, 10.0]"
117,Type1,10,2.0762723752274725,1.9845930490380106,0.7975138577433079,0.2835884735260709,"(2.0, 2.5]"
120,Type0,5,3.301195720686768,2.566660965936645,0.8682085999362473,0.5821781783729916,"(3.0, 4.0]"
123,Type1,8,1.7005542965925409,2.0397545540798077,0.8062240314376256,0.28807834451336173,"(1.5, 2.0]"
127,Type1,17,1.1461341861932774,1.3068462350415124,0.6307029275649383,0.1686858627009151,"(1.0, 1.5]"
129,Type0,7,3.5630513750934583,2.6687274961415564,0.8768792299976889,0.4878151431106772,"(3.0, 4.0]"
132,Type1,11,1.271218386884709,1.1561788205432504,0.5720551069137172,0.035875686655074006,"(1.0, 1.5]"
136,Type1,7,1.1529379215953492,1.3972031927640265,0.6612668953580636,0.21870306205463816,"(1.0, 1.5]"
138,Type1,8,1.4565059450003677,1.2264759805944068,0.600677782533754,0.1767006988686283,"(1.0, 1.5]"
142,Type0,7,4.558588412215338,4.0856044758222705,0.943477801596517,0.6822419414908553,"(4.0, 10.0]"
143,Type1,17,1.5257400257641351,1.9283855088654323,0.7880759074398391,0.3693576890454588,"(1.5, 2.0]"
150,Type1,5,2.2172393475664016,2.876749316005705,0.8921912694771138,0.5392439095119188,"(2.0, 2.5]"
161,Type0,8,3.99418167128682,4.781152966365503,0.9580878392921146,0.6669125295666852,"(3.0, 4.0]"
162,Type1,30,2.2319064461590465,1.78580143793345,0.7612844866822103,0.27605506442631395,"(2.0, 2.5]"
163,Type0,5,4.6083297621970365,4.480427112534155,0.9525486749883799,0.6535905787720491,"(4.0, 10.0]"
164,Type0,5,4.0383776849939,3.685013515889305,0.9314097170758349,0.6016101994420644,"(4.0, 10.0]"
165,Type1,8,1.040017109225274,1.435581402355296,0.6732980586204218,0.20300991597926635,"(1.0, 1.5]"
166,Type1,7,1.0745241246917687,1.507684166848084,0.6944803176880925,0.30548252545889104,"(1.0, 1.5]"
168,Type1,11,3.2027399151465934,3.418941183142743,0.9211925696041187,0.5806923946082927,"(3.0, 4.0]"
169,Type1,25,2.441166594762654,2.918699049374089,0.8949447866342853,0.40159041420228647,"(2.0, 2.5]"
170,Type1,7,2.434972732482105,3.30098507115701,0.9159416807550474,0.5631071226519079,"(2.0, 2.5]"
171,Type1,7,2.134634869421404,1.881021692886977,0.7796503875768322,0.2533587781272113,"(2.0, 2.5]"
182,Type1,5,1.419378069224467,1.677322842775644,0.737767641873514,0.4518654423676913,"(1.0, 1.5]"
189,Type0,7,4.156566200264191,3.391940269357641,0.9200336421083509,0.6818033004751506,"(4.0, 10.0]"
194,Type1,8,1.1604158431172713,1.7217358194522774,0.7477533801093018,0.3217158287907656,"(1.0, 1.5]"
195,Type0,5,2.807305461751707,2.4458695826722034,0.8567802660122483,0.4427873247025514,"(2.5, 3.0]"
201,Type1,9,2.990498644309538,2.420574248825845,0.854209971949962,0.47187985575534536,"(2.5, 3.0]"
203,Type1,6,1.111493925515607,1.2306397999361782,0.6023025595589538,0.15609178990289652,"(1.0, 1.5]"
205,Type1,6,2.0526616419388652,2.06296022865133,0.8097341857097448,0.46372972421898656,"(2.0, 2.5]"
206,Type1,5,2.3492219262278704,2.332295452417699,0.8447109017008272,0.3037882826971953,"(2.0, 2.5]"
210,Type1,5,1.107309343016487,1.1830280459065674,0.5832561241333878,0.10776437523897468,"(1.0, 1.5]"
213,Type1,5,1.8818244358222007,1.9067795885081689,0.7842878924454563,0.3462643203642769,"(1.5, 2.0]"
217,Type1,6,3.392877775903562,3.796958133423868,0.93513607927462,0.39611312332876986,"(3.0, 4.0]"
218,Type0,6,4.810322358288007,4.833901894272695,0.9589602287048992,0.6855960774192694,"(4.0, 10.0]"
223,Type0,14,3.659736695950394,4.209603584663802,0.9465833718821072,0.5962567933601739,"(3.0, 4.0]"
225,Type1,48,1.960375344074116,2.373847691954063,0.8492875717549964,0.3582098109936627,"(1.5, 2.0]"
227,Type1,7,2.563216792797301,2.591583675657944,0.8704043091672137,0.5119089740434786,"(2.5, 3.0]"
228,Type0,8,4.57336353396928,4.900202883404132,0.9600191720840089,0.48984590632112696,"(4.0, 10.0]"
229,Type1,12,1.445202501734471,1.6528650862001901,0.7320445026310352,0.2810631139747916,"(1.0, 1.5]"
236,Type0,10,4.219653297930913,3.7277606518408835,0.9328687829727118,0.5901084005339376,"(4.0, 10.0]"
240,Type1,25,2.279329550844082,2.187865086809527,0.8271915373380606,0.37881263152148814,"(2.0, 2.5]"
248,Type1,9,2.439627679289714,2.393709307069514,0.851408151015866,0.44908701600151796,"(2.0, 2.5]"
251,Type1,25,1.2256407711634256,1.5783450075375416,0.7135633179306515,0.22635241599574454,"(1.0, 1.5]"
252,Type1,7,1.617053834557479,1.68800263102053,0.7402160751253016,0.25200222177564835,"(1.5, 2.0]"
254,Type1,13,1.9040424522364057,1.7004343181807147,0.7430281527318424,0.30020976754704465,"(1.5, 2.0]"
261,Type1,9,4.191317235378397,3.494715048719531,0.9243171511466419,0.5898592961666124,"(4.0, 10.0]"
263,Type0,7,3.0769660998802273,2.516913187544774,0.863664597340542,0.49919401006372843,"(3.0, 4.0]"
265,Type1,6,1.8118208163323304,1.7401867159190203,0.7517532307838206,0.34620372919406195,"(1.5, 2.0]"
267,Type1,6,1.448265842375272,1.417443253863903,0.6676797314824979,0.11432396799633639,"(1.0, 1.5]"
268,Type1,6,1.5932328646658598,1.578434212514324,0.7135864202473688,0.3002529940261411,"(1.5, 2.0]"
273,Type1,5,1.3629099649812504,1.3316335042122964,0.6394119545424353,0.20590759166594533,"(1.0, 1.5]"
276,Type1,19,1.2387592746095375,1.2495744658254582,0.6095940460511514,0.1283067159238317,"(1.0, 1.5]"
277,Type1,321,1.506365879369102,1.6038250624331818,0.7200647637584148,0.22942884636505126,"(1.5, 2.0]"
283,Type1,5,1.568730182599945,1.7027313789353127,0.7435433281418538,0.12977931843305926,"(1.5, 2.0]"
286,Type1,8,2.470153484117736,2.873724207034725,0.8919887029207075,0.6429217783155491,"(2.0, 2.5]"
291,Type0,5,3.8414260142385417,3.8561501657978807,0.9369876072502933,0.7933561720239006,"(3.0, 4.0]"
297,Type0,5,4.977712233751488,4.379131907757348,0.9504381177844385,0.7073561886878077,"(4.0, 10.0]"
300,Type0,7,3.248618928870585,2.9694811538424184,0.898144377182582,0.5848193529944837,"(3.0, 4.0]"
306,Type1,5,1.0990619236639447,1.5292470405120546,0.7004729392333877,0.10012876209997726,"(1.0, 1.5]"
308,Type0,5,4.701664103485285,3.7671032348741265,0.9341718383351589,0.7718714701642873,"(4.0, 10.0]"
309,Type1,5,1.7763718585181432,1.897483530800102,0.7826296647851801,0.5097135582666075,"(1.5, 2.0]"
313,Type0,5,3.2969415700951075,2.963487781619821,0.8977741322359688,0.522761727502501,"(3.0, 4.0]"
314,Type1,22,2.539437284100311,2.641859328994775,0.8746776193639179,0.4709997812129891,"(2.5, 3.0]"
316,Type1,18,1.2138785091721398,1.1285165134025863,0.5601591296985088,0.22631371491613936,"(1.0, 1.5]"
