"block","r","obs","lo","hi"
0,0,0,0,0
0,24,312.450529599685,-1.89467201585609,1.8895801289543
0,48,424.046361370101,-2.69587954309272,0.14577072520327
0,72,498.181054105195,-2.77655208600157,1.53288982885981
0,96,552.096692460479,-1.89656419939557,1.83977620949041
0,120,593.569415078462,-2.26899193338856,1.73976434569974
0,144,621.660300753807,-3.1818975394244,1.52772941826288
0,168,641.91828169622,-2.73735717466016,1.85044324204713
0,192,657.896152441186,-3.00274867378241,1.70454284856149
0,216,668.436504175521,-2.91235245676714,2.14640057802052
0,240,672.859969489099,-2.75388603596673,1.99719888666826
0,264,674.185074993785,-3.55090140110383,1.76234060356751
0,288,672.961382088997,-3.26493093236172,2.19836170587797
0,312,669.860079718595,-3.28544812756587,2.36892818308019
0,336,666.288647337547,-3.27949723789771,2.53267747915032
0,360,663.177591101213,-3.35263466495888,2.49886911831101
0,384,661.00238439709,-3.4192746087981,2.67630980237806
0,408,659.253092457383,-3.6791572507438,2.87728006541676
0,432,658.381076127366,-3.62646927493836,2.88010273024861
0,456,655.396909993997,-4.24010313799556,3.14034805472681
0,480,652.99408480792,-4.68186696627151,3.35299365889659
0,504,651.070350971083,-4.48479118253573,3.59693900313266
0,528,648.529311049821,-4.83819805995506,3.50345687945673
0,552,645.341094383163,-4.99712684948963,3.69505806633015
0,576,641.70994614376,-5.42893699120145,3.79239218702014
0,600,638.550198638325,-5.57044996322657,4.3860874403
0,624,635.341154371544,-5.58865145648895,3.9733189768491
0,648,630.857297290564,-5.78824990427267,3.78006188742381
0,672,626.252112727491,-5.30661970256836,4.10443039131007
0,696,622.572352610195,-5.28236355844604,4.57112228426297
0,720,621.289794433772,-5.67559150673719,4.8986072513552
0,744,620.237047724254,-5.84938888999704,5.57841074878002
0,768,618.05320069842,-5.60327324509058,6.03738010773918
0,792,615.119336724908,-5.71055029022818,5.93632009913097
0,816,612.924331976965,-5.8097328397198,5.98042690322688
0,840,609.967489824768,-5.75976655116108,5.92526038210474
0,864,607.528492472459,-5.9750102373614,5.84255668850346
0,888,606.310111654658,-5.77778127032491,5.92971061250421
0,912,604.405684023044,-6.03440463510981,5.94357797434407
0,936,602.133138032107,-6.42564646294329,6.02814767080997
0,960,600.497384837181,-6.37446506676633,6.06400579765352
0,984,599.710748171569,-6.45338712482658,6.07114602977049
0,1008,597.533991395595,-6.52967945441571,6.3118535192624
0,1032,594.088414993241,-6.55730859021855,6.46245319191826
0,1056,591.161794053268,-6.87627892310616,6.43248676681787
0,1080,588.176749319745,-6.9099517253494,6.73078756531231
0,1104,585.401406938201,-7.00053039409863,6.78619192872065
0,1128,582.777281593413,-7.38877216592277,6.78917336346831
0,1152,581.084208819119,-7.469573978987,6.85173378860986
0,1176,580.197719168752,-7.79871940532871,7.19011285865326
0,1200,579.376910027996,-8.11545415198088,6.9931348613045
0,1224,577.551399971061,-8.15137360701488,7.2253625243211
0,1248,574.720251183573,-8.27739074903229,7.59056140971393
0,1272,572.356087666811,-8.48481401586901,7.97976112185393
0,1296,570.347022349124,-8.66599712539278,8.18404912007713
0,1320,569.526509370023,-9.14108875190072,7.9446198813016
0,1344,568.195978663111,-9.65502424104852,7.85708648092395
0,1368,566.646082197261,-9.45472492415797,8.01774684763291
0,1392,564.6763958741,-9.47987446777279,8.27300220389952
0,1416,562.711068639203,-9.45179018377553,8.46005201681305
0,1440,561.03291159221,-9.56167332583027,8.15678478731934
0,1464,560.142319741285,-9.63876360037375,8.15279499378221
0,1488,560.460764417776,-9.33483560558466,8.14561622446649
0,1512,562.29847310982,-9.82551418781736,8.4652937200724
0,1536,565.223633110383,-9.93736534658137,8.38358243731227
0,1560,567.096005971086,-10.2329759429024,8.60096025404187
0,1584,568.09410254248,-10.6857005426614,8.30683464216418
0,1608,568.578220191912,-10.8904341905184,8.55049213798111
0,1632,569.692521019268,-11.1794545621174,8.44508870242225
0,1656,570.926349036832,-11.3326471888329,8.78094209366623
0,1680,571.748719306337,-11.3389720718137,9.03802064807519
0,1704,572.326756186248,-11.2419518219617,9.30622037342005
0,1728,572.358646839516,-11.4196041767329,9.35866963185526
0,1752,571.261018642969,-11.5439653941901,9.68042195869202
0,1776,570.016482132115,-11.8589954312267,9.93349231469506
0,1800,568.276478406026,-11.7251744762229,10.2268635431221
0,1824,566.110468749368,-11.9382986575329,9.93168696875955
0,1848,562.824220713432,-12.1261583106184,10.2285592248681
0,1872,559.112309407417,-12.2661471041692,10.1158658633012
0,1896,556.625597007714,-12.9435027294248,10.1689881750074
0,1920,554.912334908578,-13.1998208875236,10.2431150480784
0,1944,552.987101398699,-13.1319879303999,10.4014084783455
0,1968,551.377149071593,-13.3514921518679,10.3904700083378
0,1992,549.305877593226,-13.7077474127634,10.6192521666871
0,2016,548.061394493103,-14.1488807043534,10.4519638865545
1,0,0,0,0
1,24,152.446144244246,-2.45293473274141,3.22171325957305
1,48,192.988679621157,-2.63913180936908,1.59674957458382
1,72,218.60773479336,-2.55616721810108,2.07262947890274
1,96,237.253620179324,-2.38429574436439,2.83621895362938
1,120,250.239586763125,-3.43635634415742,2.8637692693372
1,144,261.810060355981,-3.94761154046296,1.78136578406117
1,168,272.707910579714,-4.09360698209659,2.74972807220945
1,192,282.458378224125,-4.34685606875496,3.03766976838014
1,216,290.735948117803,-3.81921871486929,3.64863237885223
1,240,298.668655744774,-5.27140745920752,3.34504279601893
1,264,305.946576031203,-5.28910319318413,3.75509435823744
1,288,314.075133913521,-4.15293885798053,4.28954744860926
1,312,321.401199615759,-4.21044342229061,4.66991019337257
